id,x_coord,y_coord,home_compute_node_id,home_x_coord,home_y_coord,assigned_compute_node_id,assigned_x_coord,assigned_y_coord
******黄埔雅苑逸悠园路牌杆,114.04903,22.54372,******江胜大厦J,114.047314,22.550146,******会展中心一,114.04868,22.53467
******60号新洲中学教务楼,114.03749,22.526843,******好景豪园,114.02701,22.52411,******环庆花园J,114.07061,22.54038
******新洲九街街道,114.043143,22.524923,******新洲中心村J,114.04081,22.52981,******益田,114.042043,22.528317
******新洲路与莲花路交汇口旁边的绿化带上30米仿真树通信杆,114.04651,22.55458,******第一世界,114.04026,22.55405,******第一世界,114.04026,22.55405
******新洲小学教学楼,114.04619,22.52674,******新洲中心村J,114.04081,22.52981,******维也纳酒店,114.04021,22.53081
******星河外放,114.0518001,22.5324001,******平安大厦J,114.04788,22.53905,******信息枢纽大厦,114.04701,22.541611
******华荣净菜市场,114.05132,22.52581,******益田中心广场,114.04108,22.520094,******益田中心广场,114.04108,22.520094
********村福祥街83号旁监控杆,114.07775,22.53449,********祠堂坊,114.07338,22.53888,********祠堂坊,114.07338,22.53888
******银华大厦,114.08245,22.55791,******华富,114.076652,22.560137,******财富大厦,114.055814,22.539027
******信息枢纽大厦,114.05201,22.536611,******信息枢纽大厦,114.04701,22.541611,******新洲,114.04051,22.53831
******嘉里建设广场3栋,114.054337,22.536338,******免税大厦,114.047833,22.54301,******平安大厦J,114.04788,22.53905
******雨田村管理楼,114.05222,22.56121,********梅林碧华庭居A,114.042652,22.56855,******BF大厦J,114.07557,22.54155
******沙尾东村85号民房,114.03962,22.52082,******益田中心广场,114.04108,22.520094,******新洲中心村J,114.04081,22.52981
******4005号海馨苑1号门处新增6m杆体,114.08334,22.55403,******深勘大厦,114.08742,22.55366,******深勘大厦,114.08742,22.55366
******中航C,114.079252,22.542654,******工发路,114.07519,22.55239,******工发路,114.07519,22.55239
******振兴华强,114.08311,22.54744,******振兴华强,114.07811,22.55244,******工发路,114.07519,22.55239
******中海,114.062001,22.528001,******皇岗上围J,114.05478,22.53384,******滨河金田立交桥自建机房,114.05491,22.53541
******中航地产,114.080514,22.544665,******中航地产,114.075514,22.549665,******中航地产,114.075514,22.549665
******中航公寓,114.079188,22.544554,******中航中心,114.07424,22.54851,******中航地产,114.075514,22.549665
******中级法院,114.06081,22.55891,******第一世界,114.04026,22.55405,******第一世界,114.04026,22.55405
******中级人民法院附楼,114.06311,22.56011,******公交大厦,114.05752,22.56507,******城中雅苑J,114.04021,22.53634
******中银大厦A座,114.06787,22.54555,******中银大厦A座,114.06287,22.55055,******银华大厦,114.07745,22.56291
******中央商务,114.04895,22.53817,******卓越大厦,114.042943,22.543615,******卓越大厦,114.042943,22.543615
